address
"1000 4th Ave, Seattle, WA"
"5009 Roosevelt Way NE, Seattle, WA"
"5614 22nd Ave NW, Seattle, WA"
"425 Harvard Ave E, Seattle, WA"
"2306 42nd Ave SW, Seattle, WA"
