name,lat,lon,type,address
Seattle Central Library,47.6062,-122.3321,library,"1000 4th Ave, Seattle, WA"
University Branch Library,47.6613,-122.3138,library,"5009 Roosevelt Way NE, Seattle, WA"
Ballard Branch Library,47.6684,-122.3829,library,"5614 22nd Ave NW, Seattle, WA"
Capitol Hill Branch Library,47.6205,-122.3207,library,"425 Harvard Ave E, Seattle, WA"
West Seattle Branch Library,47.5643,-122.3856,library,"2306 42nd Ave SW, Seattle, WA"
