census_block_group,poi_id,state_fips,county_fips,tract,block_group,poi_name,travel_time_minutes,avg_travel_speed_kmh,avg_travel_speed_mph,travel_distance_km,travel_distance_miles,statefp,countyfp,tractce,blkgrpce,affgeoid,namelsad,lsad,aland,awater,total_population,median_household_income
371830529012,3,37,37183,052901,2,Fuquay-Varina Community Library,15,50,31,9.507983960321246,5.907985501408773,37,183,52901,2,1500000US371830529012,Block Group 2,BG,13732812,18454,892.0,66667.0
371830529022,3,37,37183,052902,2,Fuquay-Varina Community Library,15,50,31,15.238766264840889,9.468927432750448,37,183,52902,2,1500000US371830529022,Block Group 2,BG,7243378,0,1667.0,74174.0
371830529023,3,37,37183,052902,3,Fuquay-Varina Community Library,15,50,31,14.084219988278706,8.751525858336729,37,183,52902,3,1500000US371830529023,Block Group 3,BG,7613850,0,3086.0,78319.0
371830529031,3,37,37183,052903,1,Fuquay-Varina Community Library,15,50,31,15.044989471355604,9.348520152805703,37,183,52903,1,1500000US371830529031,Block Group 1,BG,7231446,1068900,1151.0,106754.0
371830529032,3,37,37183,052903,2,Fuquay-Varina Community Library,15,50,31,15.229095414489738,9.462918246796903,37,183,52903,2,1500000US371830529032,Block Group 2,BG,5475504,0,2398.0,109943.0
371830529051,3,37,37183,052905,1,Fuquay-Varina Community Library,15,50,31,9.96350251422652,6.191031520767447,37,183,52905,1,1500000US371830529051,Block Group 1,BG,6348439,0,2068.0,76094.0
371830529052,3,37,37183,052905,2,Fuquay-Varina Community Library,15,50,31,10.049857849794689,6.244690221984776,37,183,52905,2,1500000US371830529052,Block Group 2,BG,5407931,0,1318.0,114518.0
371830529061,3,37,37183,052906,1,Fuquay-Varina Community Library,15,50,31,12.942850327190872,8.042311850656919,37,183,52906,1,1500000US371830529061,Block Group 1,BG,4737057,0,2627.0,95168.0
371830529062,3,37,37183,052906,2,Fuquay-Varina Community Library,15,50,31,12.075084568698173,7.503107373536553,37,183,52906,2,1500000US371830529062,Block Group 2,BG,6578326,0,1376.0,73947.0
371830529063,3,37,37183,052906,3,Fuquay-Varina Community Library,15,50,31,11.970609434714492,7.438189555057979,37,183,52906,3,1500000US371830529063,Block Group 3,BG,4346350,0,1048.0,70882.0
371830530052,3,37,37183,053005,2,Fuquay-Varina Community Library,15,50,31,13.538844290423535,8.412645215584762,37,183,53005,2,1500000US371830530052,Block Group 2,BG,2387411,0,526.0,148542.0
371830530053,3,37,37183,053005,3,Fuquay-Varina Community Library,15,50,31,13.692386233651403,8.508051726390207,37,183,53005,3,1500000US371830530053,Block Group 3,BG,1566457,0,1346.0,171111.0
371830530054,3,37,37183,053005,4,Fuquay-Varina Community Library,15,50,31,14.824534271213466,9.211535684638182,37,183,53005,4,1500000US371830530054,Block Group 4,BG,2931530,0,2156.0,191750.0
371830530061,3,37,37183,053006,1,Fuquay-Varina Community Library,15,50,31,11.72263336964774,7.284104419531386,37,183,53006,1,1500000US371830530061,Block Group 1,BG,2755208,0,1272.0,134107.0
371830530062,3,37,37183,053006,2,Fuquay-Varina Community Library,15,50,31,12.152871803621341,7.551442105487997,37,183,53006,2,1500000US371830530062,Block Group 2,BG,2929060,0,914.0,141006.0
371830530063,3,37,37183,053006,3,Fuquay-Varina Community Library,15,50,31,13.120690220826086,8.152816403204927,37,183,53006,3,1500000US371830530063,Block Group 3,BG,3854890,59046,886.0,148750.0
371830530071,3,37,37183,053007,1,Fuquay-Varina Community Library,15,50,31,16.61864980599632,10.32634704860174,37,183,53007,1,1500000US371830530071,Block Group 1,BG,5016309,0,1857.0,129306.0
