census_block_group,poi_id,state_fips,county_fips,tract,block_group,poi_name,travel_time_minutes,avg_travel_speed_kmh,avg_travel_speed_mph,travel_distance_km,travel_distance_miles,statefp,countyfp,tractce,blkgrpce,affgeoid,namelsad,lsad,aland,awater,total_population,median_household_income,median_age
530330049011,custom_0,53,53033,004901,1,Seattle Central Library,15,50,31,2.44437122687244,1.518861393612955,53,33,4901,1,1500000US530330049011,Block Group 1,BG,196185,0,1334.0,107171.0,33.6
530330049012,custom_0,53,53033,004901,2,Seattle Central Library,15,50,31,2.4243854993206835,1.5064428420983924,53,33,4901,2,1500000US530330049012,Block Group 2,BG,159737,0,1880.0,111642.0,34.4
530330049013,custom_0,53,53033,004901,3,Seattle Central Library,15,50,31,2.6862107737209335,1.6691334746777502,53,33,4901,3,1500000US530330049013,Block Group 3,BG,141222,0,912.0,133487.0,30.1
530330049021,custom_0,53,53033,004902,1,Seattle Central Library,15,50,31,2.8312111032545038,1.7592324744403542,53,33,4902,1,1500000US530330049021,Block Group 1,BG,314917,0,1597.0,99201.0,34.0
530330049022,custom_0,53,53033,004902,2,Seattle Central Library,15,50,31,3.047098073173741,1.8933783768260406,53,33,4902,2,1500000US530330049022,Block Group 2,BG,282687,17368,1644.0,121793.0,29.9
530330050001,custom_0,53,53033,005000,1,Seattle Central Library,15,50,31,2.054515369749576,1.2766162698166639,53,33,5000,1,1500000US530330050001,Block Group 1,BG,390406,0,1753.0,137917.0,33.8
530330050002,custom_0,53,53033,005000,2,Seattle Central Library,15,50,31,2.145364077028883,1.333067021907514,53,33,5000,2,1500000US530330050002,Block Group 2,BG,211941,0,814.0,84816.0,27.9
530330050003,custom_0,53,53033,005000,3,Seattle Central Library,15,50,31,2.3033970147609497,1.4312641064590261,53,33,5000,3,1500000US530330050003,Block Group 3,BG,155033,0,1790.0,109375.0,31.3
530330051001,custom_0,53,53033,005100,1,Seattle Central Library,15,50,31,1.4061425026541787,0.8737361730167297,53,33,5100,1,1500000US530330051001,Block Group 1,BG,320557,0,1543.0,87202.0,32.9
530330051002,custom_0,53,53033,005100,2,Seattle Central Library,15,50,31,1.4356118211321476,0.8920475529087036,53,33,5100,2,1500000US530330051002,Block Group 2,BG,318857,0,1179.0,186250.0,42.7
530330051003,custom_0,53,53033,005100,3,Seattle Central Library,15,50,31,1.6233081588144749,1.008676613950709,53,33,5100,3,1500000US530330051003,Block Group 3,BG,242317,0,1109.0,162500.0,36.9
530330052011,custom_0,53,53033,005201,1,Seattle Central Library,15,50,31,1.0233608210007463,0.6358867367060548,53,33,5201,1,1500000US530330052011,Block Group 1,BG,297738,73218,1572.0,115208.0,27.8
530330052012,custom_0,53,53033,005201,2,Seattle Central Library,15,50,31,0.8961520519014664,0.5568428966420661,53,33,5201,2,1500000US530330052012,Block Group 2,BG,261961,0,1189.0,-666666666.0,34.2
530330052013,custom_0,53,53033,005201,3,Seattle Central Library,15,50,31,0.49693584546539044,0.3087815232326751,53,33,5201,3,1500000US530330052013,Block Group 3,BG,140002,0,1050.0,50710.0,26.9
530330052021,custom_0,53,53033,005202,1,Seattle Central Library,15,50,31,0.47814291625108574,0.2971041420138534,53,33,5202,1,1500000US530330052021,Block Group 1,BG,69966,0,1118.0,79750.0,25.9
530330052022,custom_0,53,53033,005202,2,Seattle Central Library,15,50,31,0.8232724533809095,0.5115576276297491,53,33,5202,2,1500000US530330052022,Block Group 2,BG,117304,19268,1002.0,41018.0,24.4
530330052023,custom_0,53,53033,005202,3,Seattle Central Library,15,50,31,0.5872217631747215,0.3648825742056399,53,33,5202,3,1500000US530330052023,Block Group 3,BG,81964,0,882.0,38799.0,22.6
530330053031,custom_0,53,53033,005303,1,Seattle Central Library,15,50,31,1.13430169997051,0.7048221816123758,53,33,5303,1,1500000US530330053031,Block Group 1,BG,388634,193147,1487.0,-666666666.0,20.4
530330053032,custom_0,53,53033,005303,2,Seattle Central Library,15,50,31,1.3497936918691682,0.838722656110437,53,33,5303,2,1500000US530330053032,Block Group 2,BG,2044209,556029,2209.0,-666666666.0,19.1
530330053041,custom_0,53,53033,005304,1,Seattle Central Library,15,50,31,0.6389337128757853,0.3970148801033396,53,33,5304,1,1500000US530330053041,Block Group 1,BG,27701,0,1620.0,-666666666.0,18.9
530330053042,custom_0,53,53033,005304,2,Seattle Central Library,15,50,31,0.5677713269252908,0.35279663718289483,53,33,5304,2,1500000US530330053042,Block Group 2,BG,45329,0,1887.0,21042.0,19.5
530330053051,custom_0,53,53033,005305,1,Seattle Central Library,15,50,31,0.24836206794481358,0.15432498652093676,53,33,5305,1,1500000US530330053051,Block Group 1,BG,129587,0,1206.0,22443.0,23.3
530330053052,custom_0,53,53033,005305,2,Seattle Central Library,15,50,31,0.3258313435588629,0.2024621477785142,53,33,5305,2,1500000US530330053052,Block Group 2,BG,83380,0,849.0,36853.0,23.1
530330053061,custom_0,53,53033,005306,1,Seattle Central Library,15,50,31,0.203187590901469,0.1262548765460367,53,33,5306,1,1500000US530330053061,Block Group 1,BG,135736,0,1609.0,30938.0,22.4
530330053062,custom_0,53,53033,005306,2,Seattle Central Library,15,50,31,0.28163355806990076,0.1749989256114523,53,33,5306,2,1500000US530330053062,Block Group 2,BG,64753,0,1879.0,38724.0,25.6
530330053071,custom_0,53,53033,005307,1,Seattle Central Library,15,50,31,0.33701026883862,0.20940840775852215,53,33,5307,1,1500000US530330053071,Block Group 1,BG,40244,0,704.0,-666666666.0,19.9
530330053072,custom_0,53,53033,005307,2,Seattle Central Library,15,50,31,0.41713997797118196,0.2591986852519313,53,33,5307,2,1500000US530330053072,Block Group 2,BG,34520,0,970.0,41607.0,20.2
530330053073,custom_0,53,53033,005307,3,Seattle Central Library,15,50,31,0.5186282176257058,0.3222605342143024,53,33,5307,3,1500000US530330053073,Block Group 3,BG,55266,0,1516.0,36195.0,20.5
530330054011,custom_0,53,53033,005401,1,Seattle Central Library,15,50,31,2.5335643742244818,1.5742834287762404,53,33,5401,1,1500000US530330054011,Block Group 1,BG,101558,0,1150.0,108843.0,27.8
530330054012,custom_0,53,53033,005401,2,Seattle Central Library,15,50,31,2.1300103088551956,1.3235266356236617,53,33,5401,2,1500000US530330054012,Block Group 2,BG,351293,296215,899.0,143919.0,31.6
530330054013,custom_0,53,53033,005401,3,Seattle Central Library,15,50,31,2.6215408931474524,1.6289494863159257,53,33,5401,3,1500000US530330054013,Block Group 3,BG,303388,319011,1084.0,125119.0,32.9
530330054021,custom_0,53,53033,005402,1,Seattle Central Library,15,50,31,2.05599059294053,1.2775329307260501,53,33,5402,1,1500000US530330054021,Block Group 1,BG,221726,0,1580.0,110067.0,36.4
530330054022,custom_0,53,53033,005402,2,Seattle Central Library,15,50,31,2.23626882883226,1.3895525984403303,53,33,5402,2,1500000US530330054022,Block Group 2,BG,124593,0,796.0,104208.0,33.4
530330054023,custom_0,53,53033,005402,3,Seattle Central Library,15,50,31,2.5011781977338203,1.5541595979040617,53,33,5402,3,1500000US530330054023,Block Group 3,BG,117581,0,700.0,89118.0,30.6
530330056001,custom_0,53,53033,005600,1,Seattle Central Library,15,50,31,2.751834405078772,1.7099100961182017,53,33,5600,1,1500000US530330056001,Block Group 1,BG,475349,0,1761.0,157614.0,40.1
530330056002,custom_0,53,53033,005600,2,Seattle Central Library,15,50,31,3.1810053978825055,1.9765845050876503,53,33,5600,2,1500000US530330056002,Block Group 2,BG,715282,333688,1254.0,183984.0,47.4
530330056003,custom_0,53,53033,005600,3,Seattle Central Library,15,50,31,3.798825066543801,2.360479730423388,53,33,5600,3,1500000US530330056003,Block Group 3,BG,875629,1212796,1544.0,189097.0,56.9
530330056004,custom_0,53,53033,005600,4,Seattle Central Library,15,50,31,3.3036749257539277,2.052807792290644,53,33,5600,4,1500000US530330056004,Block Group 4,BG,450883,0,1292.0,159671.0,45.6
530330056005,custom_0,53,53033,005600,5,Seattle Central Library,15,50,31,3.638934817587337,2.2611285665390612,53,33,5600,5,1500000US530330056005,Block Group 5,BG,505642,0,1225.0,196633.0,42.2
530330057001,custom_0,53,53033,005700,1,Seattle Central Library,15,50,31,2.523239895248134,1.5678680969502283,53,33,5700,1,1500000US530330057001,Block Group 1,BG,3337110,2291291,1659.0,161311.0,34.3
530330057002,custom_0,53,53033,005700,2,Seattle Central Library,15,50,31,2.4275346481753077,1.508399631871339,53,33,5700,2,1500000US530330057002,Block Group 2,BG,395843,0,970.0,188122.0,33.0
530330057003,custom_0,53,53033,005700,3,Seattle Central Library,15,50,31,2.9603652991615728,1.8394851463053257,53,33,5700,3,1500000US530330057003,Block Group 3,BG,536716,0,1297.0,156947.0,44.5
530330057004,custom_0,53,53033,005700,4,Seattle Central Library,15,50,31,2.094001453849772,1.3011517773800867,53,33,5700,4,1500000US530330057004,Block Group 4,BG,382395,0,1333.0,121786.0,45.0
530330057005,custom_0,53,53033,005700,5,Seattle Central Library,15,50,31,1.3975816850017317,0.868416729191211,53,33,5700,5,1500000US530330057005,Block Group 5,BG,433576,74515,1338.0,121953.0,39.9
530330058011,custom_0,53,53033,005801,1,Seattle Central Library,15,50,31,1.934175066139754,1.2018402950223253,53,33,5801,1,1500000US530330058011,Block Group 1,BG,212762,0,1680.0,188438.0,36.0
530330058012,custom_0,53,53033,005801,2,Seattle Central Library,15,50,31,2.000347927000089,1.2429581917479722,53,33,5801,2,1500000US530330058012,Block Group 2,BG,211615,0,1593.0,109420.0,32.7
530330058013,custom_0,53,53033,005801,3,Seattle Central Library,15,50,31,1.5829174894426659,0.9835790233324787,53,33,5801,3,1500000US530330058013,Block Group 3,BG,338261,0,1688.0,127917.0,40.1
