Population,Block_Group_Name,State_FIPS,County_FIPS,Tract_Code,Block_Group_Number,Block_Group_ID
1303,"Block Group 1, Census Tract 507.34, Gwinnett County, Georgia",13,135,050734,1,131350507341
1814,"Block Group 2, Census Tract 507.34, Gwinnett County, Georgia",13,135,050734,2,131350507342
1607,"Block Group 3, Census Tract 507.34, Gwinnett County, Georgia",13,135,050734,3,131350507343
2494,"Block Group 1, Census Tract 507.35, Gwinnett County, Georgia",13,135,050735,1,131350507351
1115,"Block Group 2, Census Tract 507.35, Gwinnett County, Georgia",13,135,050735,2,131350507352
1018,"Block Group 3, Census Tract 507.35, Gwinnett County, Georgia",13,135,050735,3,131350507353
2121,"Block Group 1, Census Tract 507.36, Gwinnett County, Georgia",13,135,050736,1,131350507361
330,"Block Group 2, Census Tract 507.36, Gwinnett County, Georgia",13,135,050736,2,131350507362
2060,"Block Group 3, Census Tract 507.36, Gwinnett County, Georgia",13,135,050736,3,131350507363
2121,"Block Group 4, Census Tract 507.36, Gwinnett County, Georgia",13,135,050736,4,131350507364
2492,"Block Group 1, Census Tract 507.37, Gwinnett County, Georgia",13,135,050737,1,131350507371
1995,"Block Group 2, Census Tract 507.37, Gwinnett County, Georgia",13,135,050737,2,131350507372
2055,"Block Group 1, Census Tract 507.38, Gwinnett County, Georgia",13,135,050738,1,131350507381
3471,"Block Group 2, Census Tract 507.38, Gwinnett County, Georgia",13,135,050738,2,131350507382
928,"Block Group 3, Census Tract 507.38, Gwinnett County, Georgia",13,135,050738,3,131350507383
666,"Block Group 4, Census Tract 507.38, Gwinnett County, Georgia",13,135,050738,4,131350507384
1524,"Block Group 1, Census Tract 507.39, Gwinnett County, Georgia",13,135,050739,1,131350507391
2537,"Block Group 2, Census Tract 507.39, Gwinnett County, Georgia",13,135,050739,2,131350507392
1835,"Block Group 1, Census Tract 507.40, Gwinnett County, Georgia",13,135,050740,1,131350507401
3656,"Block Group 1, Census Tract 507.41, Gwinnett County, Georgia",13,135,050741,1,131350507411
2340,"Block Group 2, Census Tract 507.41, Gwinnett County, Georgia",13,135,050741,2,131350507412
513,"Block Group 3, Census Tract 507.41, Gwinnett County, Georgia",13,135,050741,3,131350507413
1059,"Block Group 1, Census Tract 507.42, Gwinnett County, Georgia",13,135,050742,1,131350507421
1258,"Block Group 2, Census Tract 507.42, Gwinnett County, Georgia",13,135,050742,2,131350507422
2071,"Block Group 3, Census Tract 507.42, Gwinnett County, Georgia",13,135,050742,3,131350507423
1422,"Block Group 1, Census Tract 507.43, Gwinnett County, Georgia",13,135,050743,1,131350507431
1830,"Block Group 2, Census Tract 507.43, Gwinnett County, Georgia",13,135,050743,2,131350507432
1596,"Block Group 3, Census Tract 507.43, Gwinnett County, Georgia",13,135,050743,3,131350507433
2619,"Block Group 1, Census Tract 507.44, Gwinnett County, Georgia",13,135,050744,1,131350507441
1975,"Block Group 2, Census Tract 507.44, Gwinnett County, Georgia",13,135,050744,2,131350507442
1733,"Block Group 3, Census Tract 507.44, Gwinnett County, Georgia",13,135,050744,3,131350507443
636,"Block Group 4, Census Tract 507.44, Gwinnett County, Georgia",13,135,050744,4,131350507444
2969,"Block Group 1, Census Tract 507.45, Gwinnett County, Georgia",13,135,050745,1,131350507451
1493,"Block Group 2, Census Tract 507.45, Gwinnett County, Georgia",13,135,050745,2,131350507452
1143,"Block Group 1, Census Tract 507.46, Gwinnett County, Georgia",13,135,050746,1,131350507461
2173,"Block Group 2, Census Tract 507.46, Gwinnett County, Georgia",13,135,050746,2,131350507462
1734,"Block Group 3, Census Tract 507.46, Gwinnett County, Georgia",13,135,050746,3,131350507463
2497,"Block Group 4, Census Tract 507.46, Gwinnett County, Georgia",13,135,050746,4,131350507464
2251,"Block Group 1, Census Tract 507.47, Gwinnett County, Georgia",13,135,050747,1,131350507471
2551,"Block Group 2, Census Tract 507.47, Gwinnett County, Georgia",13,135,050747,2,131350507472
1920,"Block Group 1, Census Tract 507.48, Gwinnett County, Georgia",13,135,050748,1,131350507481
3127,"Block Group 2, Census Tract 507.48, Gwinnett County, Georgia",13,135,050748,2,131350507482
1511,"Block Group 1, Census Tract 507.49, Gwinnett County, Georgia",13,135,050749,1,131350507491
1952,"Block Group 2, Census Tract 507.49, Gwinnett County, Georgia",13,135,050749,2,131350507492
1433,"Block Group 1, Census Tract 507.50, Gwinnett County, Georgia",13,135,050750,1,131350507501
1314,"Block Group 2, Census Tract 507.50, Gwinnett County, Georgia",13,135,050750,2,131350507502
2179,"Block Group 3, Census Tract 507.50, Gwinnett County, Georgia",13,135,050750,3,131350507503
1505,"Block Group 1, Census Tract 507.51, Gwinnett County, Georgia",13,135,050751,1,131350507511
1828,"Block Group 2, Census Tract 507.51, Gwinnett County, Georgia",13,135,050751,2,131350507512
1911,"Block Group 1, Census Tract 507.52, Gwinnett County, Georgia",13,135,050752,1,131350507521
1783,"Block Group 2, Census Tract 507.52, Gwinnett County, Georgia",13,135,050752,2,131350507522
893,"Block Group 1, Census Tract 507.53, Gwinnett County, Georgia",13,135,050753,1,131350507531
1925,"Block Group 2, Census Tract 507.53, Gwinnett County, Georgia",13,135,050753,2,131350507532
1437,"Block Group 3, Census Tract 507.53, Gwinnett County, Georgia",13,135,050753,3,131350507533
1699,"Block Group 1, Census Tract 507.54, Gwinnett County, Georgia",13,135,050754,1,131350507541
1924,"Block Group 2, Census Tract 507.54, Gwinnett County, Georgia",13,135,050754,2,131350507542
2735,"Block Group 1, Census Tract 507.55, Gwinnett County, Georgia",13,135,050755,1,131350507551
2280,"Block Group 1, Census Tract 507.56, Gwinnett County, Georgia",13,135,050756,1,131350507561
891,"Block Group 2, Census Tract 507.56, Gwinnett County, Georgia",13,135,050756,2,131350507562
2658,"Block Group 3, Census Tract 507.56, Gwinnett County, Georgia",13,135,050756,3,131350507563
1075,"Block Group 1, Census Tract 507.57, Gwinnett County, Georgia",13,135,050757,1,131350507571
2852,"Block Group 2, Census Tract 507.57, Gwinnett County, Georgia",13,135,050757,2,131350507572
1787,"Block Group 1, Census Tract 507.58, Gwinnett County, Georgia",13,135,050758,1,131350507581
1103,"Block Group 2, Census Tract 507.58, Gwinnett County, Georgia",13,135,050758,2,131350507582
2700,"Block Group 1, Census Tract 507.59, Gwinnett County, Georgia",13,135,050759,1,131350507591
1507,"Block Group 2, Census Tract 507.59, Gwinnett County, Georgia",13,135,050759,2,131350507592
2171,"Block Group 1, Census Tract 507.60, Gwinnett County, Georgia",13,135,050760,1,131350507601
1714,"Block Group 2, Census Tract 507.60, Gwinnett County, Georgia",13,135,050760,2,131350507602
1018,"Block Group 3, Census Tract 507.60, Gwinnett County, Georgia",13,135,050760,3,131350507603
1590,"Block Group 1, Census Tract 507.61, Gwinnett County, Georgia",13,135,050761,1,131350507611
1875,"Block Group 2, Census Tract 507.61, Gwinnett County, Georgia",13,135,050761,2,131350507612
2197,"Block Group 1, Census Tract 507.62, Gwinnett County, Georgia",13,135,050762,1,131350507621
1050,"Block Group 2, Census Tract 507.62, Gwinnett County, Georgia",13,135,050762,2,131350507622
464,"Block Group 3, Census Tract 507.62, Gwinnett County, Georgia",13,135,050762,3,131350507623
1242,"Block Group 4, Census Tract 507.62, Gwinnett County, Georgia",13,135,050762,4,131350507624
2823,"Block Group 1, Census Tract 507.63, Gwinnett County, Georgia",13,135,050763,1,131350507631
1743,"Block Group 2, Census Tract 507.63, Gwinnett County, Georgia",13,135,050763,2,131350507632
1881,"Block Group 1, Census Tract 507.64, Gwinnett County, Georgia",13,135,050764,1,131350507641
871,"Block Group 2, Census Tract 507.64, Gwinnett County, Georgia",13,135,050764,2,131350507642
1259,"Block Group 1, Census Tract 507.65, Gwinnett County, Georgia",13,135,050765,1,131350507651
1690,"Block Group 2, Census Tract 507.65, Gwinnett County, Georgia",13,135,050765,2,131350507652
1655,"Block Group 1, Census Tract 1, Habersham County, Georgia",13,137,000100,1,131370001001
974,"Block Group 2, Census Tract 1, Habersham County, Georgia",13,137,000100,2,131370001002
1064,"Block Group 3, Census Tract 1, Habersham County, Georgia",13,137,000100,3,131370001003
1671,"Block Group 1, Census Tract 2.01, Habersham County, Georgia",13,137,000201,1,131370002011
2015,"Block Group 2, Census Tract 2.01, Habersham County, Georgia",13,137,000201,2,131370002012
200,"Block Group 1, Census Tract 2.03, Habersham County, Georgia",13,137,000203,1,131370002031
1192,"Block Group 2, Census Tract 2.03, Habersham County, Georgia",13,137,000203,2,131370002032
602,"Block Group 3, Census Tract 2.03, Habersham County, Georgia",13,137,000203,3,131370002033
1803,"Block Group 4, Census Tract 2.03, Habersham County, Georgia",13,137,000203,4,131370002034
1629,"Block Group 1, Census Tract 2.04, Habersham County, Georgia",13,137,000204,1,131370002041
1670,"Block Group 1, Census Tract 3, Habersham County, Georgia",13,137,000300,1,131370003001
1280,"Block Group 2, Census Tract 3, Habersham County, Georgia",13,137,000300,2,131370003002
1538,"Block Group 3, Census Tract 3, Habersham County, Georgia",13,137,000300,3,131370003003
912,"Block Group 1, Census Tract 4, Habersham County, Georgia",13,137,000400,1,131370004001
951,"Block Group 2, Census Tract 4, Habersham County, Georgia",13,137,000400,2,131370004002
1395,"Block Group 3, Census Tract 4, Habersham County, Georgia",13,137,000400,3,131370004003
1867,"Block Group 4, Census Tract 4, Habersham County, Georgia",13,137,000400,4,131370004004
1032,"Block Group 1, Census Tract 5.01, Habersham County, Georgia",13,137,000501,1,131370005011
1319,"Block Group 2, Census Tract 5.01, Habersham County, Georgia",13,137,000501,2,131370005012
2188,"Block Group 1, Census Tract 5.02, Habersham County, Georgia",13,137,000502,1,131370005021
1699,"Block Group 2, Census Tract 5.02, Habersham County, Georgia",13,137,000502,2,131370005022
2316,"Block Group 3, Census Tract 5.02, Habersham County, Georgia",13,137,000502,3,131370005023
1573,"Block Group 1, Census Tract 6.01, Habersham County, Georgia",13,137,000601,1,131370006011
934,"Block Group 2, Census Tract 6.01, Habersham County, Georgia",13,137,000601,2,131370006012
1858,"Block Group 3, Census Tract 6.01, Habersham County, Georgia",13,137,000601,3,131370006013
2306,"Block Group 4, Census Tract 6.01, Habersham County, Georgia",13,137,000601,4,131370006014
1574,"Block Group 1, Census Tract 6.03, Habersham County, Georgia",13,137,000603,1,131370006031
1636,"Block Group 2, Census Tract 6.03, Habersham County, Georgia",13,137,000603,2,131370006032
1490,"Block Group 1, Census Tract 6.04, Habersham County, Georgia",13,137,000604,1,131370006041
1604,"Block Group 2, Census Tract 6.04, Habersham County, Georgia",13,137,000604,2,131370006042
1429,"Block Group 3, Census Tract 6.04, Habersham County, Georgia",13,137,000604,3,131370006043
391,"Block Group 4, Census Tract 6.04, Habersham County, Georgia",13,137,000604,4,131370006044
2052,"Block Group 1, Census Tract 1.01, Hall County, Georgia",13,139,000101,1,131390001011
3127,"Block Group 2, Census Tract 1.01, Hall County, Georgia",13,139,000101,2,131390001012
2266,"Block Group 1, Census Tract 1.02, Hall County, Georgia",13,139,000102,1,131390001021
1113,"Block Group 2, Census Tract 1.02, Hall County, Georgia",13,139,000102,2,131390001022
2052,"Block Group 1, Census Tract 2.03, Hall County, Georgia",13,139,000203,1,131390002031
2406,"Block Group 2, Census Tract 2.03, Hall County, Georgia",13,139,000203,2,131390002032
2072,"Block Group 1, Census Tract 2.04, Hall County, Georgia",13,139,000204,1,131390002041
2473,"Block Group 2, Census Tract 2.04, Hall County, Georgia",13,139,000204,2,131390002042
2381,"Block Group 1, Census Tract 2.05, Hall County, Georgia",13,139,000205,1,131390002051
1761,"Block Group 1, Census Tract 2.06, Hall County, Georgia",13,139,000206,1,131390002061
1161,"Block Group 2, Census Tract 2.06, Hall County, Georgia",13,139,000206,2,131390002062
2268,"Block Group 1, Census Tract 3.03, Hall County, Georgia",13,139,000303,1,131390003031
401,"Block Group 2, Census Tract 3.03, Hall County, Georgia",13,139,000303,2,131390003032
2015,"Block Group 1, Census Tract 3.04, Hall County, Georgia",13,139,000304,1,131390003041
1465,"Block Group 2, Census Tract 3.04, Hall County, Georgia",13,139,000304,2,131390003042
1086,"Block Group 1, Census Tract 3.05, Hall County, Georgia",13,139,000305,1,131390003051
2479,"Block Group 2, Census Tract 3.05, Hall County, Georgia",13,139,000305,2,131390003052
1002,"Block Group 3, Census Tract 3.05, Hall County, Georgia",13,139,000305,3,131390003053
1494,"Block Group 1, Census Tract 3.06, Hall County, Georgia",13,139,000306,1,131390003061
1400,"Block Group 2, Census Tract 3.06, Hall County, Georgia",13,139,000306,2,131390003062
2450,"Block Group 1, Census Tract 3.07, Hall County, Georgia",13,139,000307,1,131390003071
1796,"Block Group 2, Census Tract 3.07, Hall County, Georgia",13,139,000307,2,131390003072
642,"Block Group 1, Census Tract 4.01, Hall County, Georgia",13,139,000401,1,131390004011
2138,"Block Group 2, Census Tract 4.01, Hall County, Georgia",13,139,000401,2,131390004012
2183,"Block Group 1, Census Tract 4.02, Hall County, Georgia",13,139,000402,1,131390004021
1319,"Block Group 2, Census Tract 4.02, Hall County, Georgia",13,139,000402,2,131390004022
698,"Block Group 1, Census Tract 5.01, Hall County, Georgia",13,139,000501,1,131390005011
1754,"Block Group 2, Census Tract 5.01, Hall County, Georgia",13,139,000501,2,131390005012
1218,"Block Group 3, Census Tract 5.01, Hall County, Georgia",13,139,000501,3,131390005013
1179,"Block Group 1, Census Tract 5.02, Hall County, Georgia",13,139,000502,1,131390005021
2119,"Block Group 2, Census Tract 5.02, Hall County, Georgia",13,139,000502,2,131390005022
908,"Block Group 1, Census Tract 6.01, Hall County, Georgia",13,139,000601,1,131390006011
1312,"Block Group 2, Census Tract 6.01, Hall County, Georgia",13,139,000601,2,131390006012
968,"Block Group 3, Census Tract 6.01, Hall County, Georgia",13,139,000601,3,131390006013
1086,"Block Group 1, Census Tract 6.02, Hall County, Georgia",13,139,000602,1,131390006021
3016,"Block Group 2, Census Tract 6.02, Hall County, Georgia",13,139,000602,2,131390006022
3306,"Block Group 1, Census Tract 7.02, Hall County, Georgia",13,139,000702,1,131390007021
2132,"Block Group 2, Census Tract 7.02, Hall County, Georgia",13,139,000702,2,131390007022
2400,"Block Group 1, Census Tract 7.03, Hall County, Georgia",13,139,000703,1,131390007031
1614,"Block Group 2, Census Tract 7.03, Hall County, Georgia",13,139,000703,2,131390007032
1458,"Block Group 1, Census Tract 7.04, Hall County, Georgia",13,139,000704,1,131390007041
1571,"Block Group 2, Census Tract 7.04, Hall County, Georgia",13,139,000704,2,131390007042
1414,"Block Group 1, Census Tract 8, Hall County, Georgia",13,139,000800,1,131390008001
1043,"Block Group 2, Census Tract 8, Hall County, Georgia",13,139,000800,2,131390008002
1677,"Block Group 3, Census Tract 8, Hall County, Georgia",13,139,000800,3,131390008003
1815,"Block Group 1, Census Tract 9.01, Hall County, Georgia",13,139,000901,1,131390009011
1141,"Block Group 2, Census Tract 9.01, Hall County, Georgia",13,139,000901,2,131390009012
1853,"Block Group 1, Census Tract 9.02, Hall County, Georgia",13,139,000902,1,131390009021
1599,"Block Group 2, Census Tract 9.02, Hall County, Georgia",13,139,000902,2,131390009022
1362,"Block Group 1, Census Tract 10.04, Hall County, Georgia",13,139,001004,1,131390010041
1731,"Block Group 2, Census Tract 10.04, Hall County, Georgia",13,139,001004,2,131390010042
