name,latitude,longitude,type
State Capitol,35.7806,-78.6389,government
NC State University,35.7847,-78.6821,education
RDU Airport,35.8776,-78.7875,transportation
North Hills,35.8321,-78.6414,shopping
Crabtree Valley,35.8198,-78.7074,shopping
