name,latitude,longitude,type,address,city,subtype
Paul's Grocery,37.9590065,-98.6005628,small_grocer,"South Main Street, Stafford, KS 67578",Stafford,supermarket
White's Food Liner,37.6471194,-98.1000041,small_grocer,"East D Avenue, Kingman, KS 67068",Kingman,supermarket
Dillons,38.2080052,-98.2064856,small_grocer,"South Broadway Avenue, Sterling, KS 67579",Sterling,supermarket
Dillons,38.359971,-98.7941016,small_grocer,"10th Street, Great Bend, KS 67530",Great Bend,supermarket
Hometown Market,39.7498283,-101.5334197,small_grocer,", , KS",,supermarket
Valley Supply & Rental,38.3696357,-94.6965089,small_grocer,", , KS",,supermarket
Sprouts Farmers Market,38.9548373,-94.6495106,small_grocer,"Nall Avenue, Overland Park, KS 66207",Overland Park,supermarket
Pan-Asia Market,38.9117162,-94.6697329,small_grocer,", , KS",,supermarket
Ladow's Market,39.8089813,-98.5555647,small_grocer,"Main Street, Lebanon, KS 66952",Lebanon,supermarket
J.R. Surefine,39.7019806,-96.4172455,small_grocer,", , KS",,supermarket
European Delights,38.9559253,-94.6889379,small_grocer,", , KS",,supermarket
N & J Global Market,37.6722811,-97.2706539,small_grocer,"East Lincoln Street, Wichita, KS 67218",Wichita,supermarket
Crunch Bear Market,39.1746828,-96.5824928,small_grocer,"Fort Riley Boulevard, Manhattan, KS",Manhattan,supermarket
Hy-Vee,38.9901402,-94.6099543,small_grocer,", , KS",,supermarket
Grace Market,37.6684212,-97.2797152,small_grocer,", , KS",,supermarket
ALDI,37.6780618,-97.2433078,small_grocer,"East Kellogg Drive, Wichita, KS 67207",Wichita,supermarket
Auburn Wine and Spirits,37.6912959,-97.243735,small_grocer,", , KS",,supermarket
ALDI,37.6961352,-97.4635141,small_grocer,"North Maize Road, Wichita, KS 67212",Wichita,supermarket
ALDI,38.074032,-97.8978489,small_grocer,"Waldron Street, Hutchinson, KS 67502",Hutchinson,supermarket
ALDI,38.7972614,-97.6119475,small_grocer,"South 9th Street, Salina, KS 67401",Salina,supermarket
ALDI,39.0224678,-96.8213564,small_grocer,"East Chestnut Street, Junction City, KS 66441",Junction City,supermarket
ALDI,39.0141842,-95.6826715,small_grocer,"Southwest 29th Street, Topeka, KS 66611",Topeka,supermarket
ALDI,39.1158755,-94.6898588,small_grocer,"State Avenue, Kansas City, KS 66102",Kansas City,supermarket
ALDI,39.1274843,-94.8345499,small_grocer,"North 110th Street, Kansas City, KS 66111",Kansas City,supermarket
ALDI,38.8405595,-94.666001,small_grocer,"Metcalf Avenue, Overland Park, KS 66223",Overland Park,supermarket
Casa Azteca Market,38.9407512,-95.2436449,small_grocer,"West 23rd Street, Lawrence, KS 66046",Lawrence,supermarket
Price Chopper,39.0396536,-94.642411,small_grocer,", , KS",,supermarket
TT Asian Grocery,39.0155883,-95.7641462,small_grocer,"Southwest Wanamaker Road, Topeka, KS 66614",Topeka,supermarket
Ron's Supermarket,37.3808225,-94.7012067,small_grocer,", , KS",,supermarket
Seabrook Apple Market,39.0316234,-95.7255652,small_grocer,"Southwest Gage Boulevard, Topeka, KS 66604",Topeka,supermarket
Unnamed supermarket,37.2672181,-99.3276381,small_grocer,", , KS",,supermarket
Dillons,37.5579848,-97.2722075,small_grocer,"West Greenway Street, Derby, KS 67037",Derby,supermarket
Hen House Market,39.0337684,-94.6175914,small_grocer,"West 53rd Street, , KS 66205",,supermarket
Wray's Bulk Foods,38.6149673,-95.2683669,small_grocer,"South Main Street, Ottawa, KS 66067",Ottawa,supermarket
El Rio Bravo,37.7218675,-97.3619752,small_grocer,"West 21st Street North, Wichita, KS 67203",Wichita,supermarket
Second Chance Foods,38.9795649,-95.6852907,small_grocer,"Southwest Topeka Boulevard, Topeka, KS 66609",Topeka,supermarket
Tiltons Oakland Market,39.0585741,-95.6454116,small_grocer,"Northeast Seward Avenue, Topeka, KS 66616",Topeka,supermarket
Tiltons Westside,39.0557632,-95.6877704,small_grocer,"Southwest 6th Avenue, Topeka, KS 66606",Topeka,supermarket
La Unica Supermarket,39.0466463,-95.6531122,small_grocer,"Southeast 6th Avenue, Topeka, KS 66607",Topeka,supermarket
Mizes Thriftway,37.5110301,-97.497548,small_grocer,"North 4th Street, Clearwater, KS 67026",Clearwater,supermarket
Dillons,37.6909512,-96.9701426,small_grocer,"Ohio Street, Augusta, KS 67010",Augusta,supermarket
Leeker's Family Foods,37.7965758,-97.3373148,small_grocer,"North Broadway Street, Park City, KS 67219",Park City,supermarket
Kraus Foods,37.7784509,-97.5345665,small_grocer,"East Chicago Avenue, Colwich, KS 67030",Colwich,supermarket
Leeker's Family Foods,37.5662976,-97.3536109,small_grocer,"North Main Street, Haysville, KS 67060",Haysville,supermarket
Dillons,37.6927499,-97.4644643,small_grocer,"West Central Avenue, Wichita, KS 67212",Wichita,supermarket
Lao Food Market,37.6361092,-97.2992791,small_grocer,"South Hillside Street, Wichita, KS 67216",Wichita,supermarket
Guelaguetza Market,37.6412007,-97.3178735,small_grocer,"South Hydraulic Street, Wichita, KS 67216",Wichita,supermarket
La Guelaguetza Supermarket,37.6493853,-97.2992181,small_grocer,"South Hillside Street, Wichita, KS 67216",Wichita,supermarket
Thai An Market,37.6491016,-97.2992281,small_grocer,"South Hillside Street, Wichita, KS 67216",Wichita,supermarket
La Michoacana,37.6519339,-97.3159464,small_grocer,"South Southeast Boulevard, Wichita, KS 67211",Wichita,supermarket
Kimson Asian Market,37.6502026,-97.3266846,small_grocer,"East Pawnee Street, Wichita, KS 67211",Wichita,supermarket
El Rio Bravo Supermarket,37.649291,-97.3547646,small_grocer,"South Seneca Street, Wichita, KS 67217",Wichita,supermarket
Tortilleria El Guero,37.6841589,-97.3867178,small_grocer,"West Douglas Avenue, Wichita, KS 67203",Wichita,supermarket
Gourmet Asian Market,37.6638566,-97.209976,small_grocer,"East Harry Street, Wichita, KS 67207",Wichita,supermarket
Green Acres Market,37.7222473,-97.2425754,small_grocer,"East 21st Street North, Wichita, KS 67206",Wichita,supermarket
