name,latitude,longitude,type,address,city,subtype
Fort Riley Main Exchange,39.0622389,-96.8262095,small_grocer,"Trooper Drive, Fort Riley, KS 66442",Fort Riley,supermarket
Commissary,39.0641717,-96.8261931,small_grocer,"Trooper Drive, Fort Riley, KS 66442",Fort Riley,supermarket
Dillons,37.6089926,-97.3355538,small_grocer,"South Broadway Street, Wichita, KS 67216",Wichita,supermarket
Dillons,37.7097126,-97.3884465,small_grocer,"West 13th Street North, Wichita, KS 67203",Wichita,supermarket
ALDI,38.9563586,-94.6822006,small_grocer,"West 95th Street, Overland Park, KS 66212",Overland Park,supermarket
Sprouts Farmers Market,38.9734421,-95.3044962,small_grocer,"Bauer Farm Drive, Lawrence, KS 66049",Lawrence,supermarket
Esbon Grocery,39.8229558,-98.435296,small_grocer,"Grand Avenue, Esbon, KS 66941",Esbon,supermarket
Hy-Vee,39.768397,-94.8008489,small_grocer,"North Belt Highway, Saint Joseph, KS 64506",Saint Joseph,supermarket
Green Hills Market,39.7867349,-94.8478339,small_grocer,"5th Avenue, Saint Joseph, KS 64505",Saint Joseph,supermarket
Price Chopper,39.7866313,-94.8015577,small_grocer,", , KS",,supermarket
Price Chopper,39.016318,-94.7256398,small_grocer,"Shawnee Mission Parkway, Shawnee, KS 66216",Shawnee,supermarket
Food Fair,38.175295,-94.7097335,small_grocer,", , KS",,supermarket
ALDI,39.006774,-94.7618117,small_grocer,"West 67th Street, Shawnee, KS 66217",Shawnee,supermarket
Hy-Vee,39.0159571,-94.7434918,small_grocer,"West 63rd Street, Shawnee, KS 66216",Shawnee,supermarket
Natural Grocers,39.0137723,-94.7413653,small_grocer,"Shawnee Mission Parkway, Shawnee, KS 66216",Shawnee,supermarket
ALDI,38.9697215,-94.7689245,small_grocer,"West 87th Street Parkway, Lenexa, KS 66219",Lenexa,supermarket
Lenexa Public Market,38.9698996,-94.7837574,small_grocer,"Penrose Lane, Lenexa, KS 66219",Lenexa,supermarket
Eskridge Market,38.8601946,-96.1081454,small_grocer,", , KS",,supermarket
Meridian Grocery,38.0425421,-97.3726293,small_grocer,", , KS",,supermarket
Natural Grocers,37.714417,-97.2459707,small_grocer,"North Rock Road, Wichita, KS 67206",Wichita,supermarket
Marvin's,37.0207845,-94.7351536,small_grocer,", , KS",,supermarket
Dillons,37.6659554,-97.2726479,small_grocer,"East Harry Street, Wichita, KS 67218",Wichita,supermarket
Thai Binh Supermarket,37.7238409,-97.355417,small_grocer,"West 21st Street North, Wichita, KS 67203",Wichita,supermarket
B & J Country Mart,39.1156275,-95.07521,small_grocer,"Ridge Street, Tonganoxie, KS 66086",Tonganoxie,supermarket
Price Rite Market,39.2104454,-94.6125375,small_grocer,"Northwest Waukomis Drive, Kansas City, KS 64151",Kansas City,supermarket
Price Chopper,38.9938433,-94.6652993,small_grocer,"West 75th Street, Overland Park, KS 66204",Overland Park,supermarket
Gene's Heartland Foods,38.9353493,-95.0948801,small_grocer,"Church Street, Eudora, KS 66025",Eudora,supermarket
Save-A-Lot,38.8408185,-97.6040521,small_grocer,", , KS",,supermarket
Price Chopper,38.6222324,-94.691026,small_grocer,"West Amity Street, Louisburg, KS 66053",Louisburg,supermarket
Natural Grocers,39.0219072,-94.6648506,small_grocer,", , KS",,supermarket
Price Chopper,38.585433,-95.2688743,small_grocer,", , KS",,supermarket
Dillons,38.027636,-97.3342892,small_grocer,"South Kansas Avenue, Newton, KS 67114",Newton,supermarket
Unnamed supermarket,38.0574506,-97.3427314,small_grocer,", , KS",,supermarket
Dillons,38.0563863,-97.3427898,small_grocer,"North Main Street, Newton, KS 67114",Newton,supermarket
McKeever's Market & Eatery,38.9684862,-94.7742346,small_grocer,"Maurer Road, Lenexa, KS 66219",Lenexa,supermarket
Harps,38.9634,-94.9798105,small_grocer,"Commerce Drive, De Soto, KS 66018",De Soto,supermarket
Price Chopper,38.9431452,-94.8132743,small_grocer,"West 101st Street, Lenexa, KS 66220",Lenexa,supermarket
Dillons Marketplace,37.6768599,-97.1330411,small_grocer,"East Cloud Avenue, Andover, KS 67002",Andover,supermarket
Unnamed supermarket,37.0031869,-101.8977669,small_grocer,", , KS",,supermarket
Lucky,37.6653939,-97.2545673,small_grocer,"East Harry Street, Wichita, KS 67207",Wichita,supermarket
Price Chopper,39.0890187,-94.8827441,small_grocer,"South Commercial Drive, Bonner Springs, KS 66012",Bonner Springs,supermarket
Dillons,37.4866635,-97.2452445,small_grocer,"North 2nd Avenue, Mulvane, KS 67110",Mulvane,supermarket
Price Chopper,38.8128982,-94.913387,small_grocer,"East Main Street, Gardner, KS 66030",Gardner,supermarket
The Merc Co+op,39.1152518,-94.621851,small_grocer,"Minnesota Avenue, Kansas City, KS 66101",Kansas City,supermarket
Dales Supermarket,38.3534966,-97.205154,small_grocer,"West Grand Avenue, Hillsboro, KS 67063",Hillsboro,supermarket
Thriftway,39.2154257,-95.3100225,small_grocer,"Walnut Street, Oskaloosa, KS 66066",Oskaloosa,supermarket
ALDI,37.5645889,-97.2452891,small_grocer,"Rock Road, Derby, KS 67037",Derby,supermarket
ALDI,37.7220081,-97.2582526,small_grocer,"East 21st Street North, Wichita, KS 67206",Wichita,supermarket
ALDI,37.7255562,-97.3638794,small_grocer,"North Amidon Avenue, Wichita, KS 67204",Wichita,supermarket
ALDI,39.0392311,-95.7664047,small_grocer,"Southwest Arvonia Place, Topeka, KS 66615",Topeka,supermarket
ALDI,38.8898104,-94.8358714,small_grocer,"North Millridge Street, Olathe, KS 66061",Olathe,supermarket
Ray's Apple Market,39.187636,-96.0570084,small_grocer,"East Jesuit Lane, Saint Marys, KS 66536",Saint Marys,supermarket
The Merc Co+op,38.9675381,-95.2614091,small_grocer,"Iowa Street, Lawrence, KS 66044",Lawrence,supermarket
Gene's Heartland Foods,39.2093877,-96.308861,small_grocer,"US 24, Wamego, KS 66547",Wamego,supermarket
Unnamed supermarket,37.5129715,-94.8501899,small_grocer,", , KS",,supermarket
Dillons,37.4319657,-94.7036834,small_grocer,"North Broadway Street, Pittsburg, KS 66762",Pittsburg,supermarket
Dillons,37.7647504,-100.031435,small_grocer,"North 14th Avenue, Dodge City, KS 67801",Dodge City,supermarket
Farmers Country Market,37.7660587,-100.0156104,small_grocer,"Central Avenue, Dodge City, KS 67801",Dodge City,supermarket
Price Chopper,38.9718122,-94.6874612,small_grocer,"Antioch Road, Overland Park, KS",Overland Park,supermarket
Cosentino's Market,38.8378266,-94.6846708,small_grocer,"West 160th Street, Overland Park, KS 66223",Overland Park,supermarket
Unnamed supermarket,39.066536,-95.6377395,small_grocer,"Northeast Sardou Avenue, Topeka, KS 66616",Topeka,supermarket
The Tasteful Olive,38.9842872,-94.6716467,small_grocer,"Santa Fe Drive, Overland Park, KS 66204",Overland Park,grocery
Dillons,37.7235754,-97.361044,small_grocer,"West 21st Street North, Wichita, KS 67203",Wichita,supermarket
ALDI,39.7362329,-94.7998489,small_grocer,"South Belt Highway, Saint Joseph, KS 64503",Saint Joseph,supermarket
ALDI,39.0919172,-95.678299,small_grocer,"Northwest Clay Street, Topeka, KS 66618",Topeka,supermarket
Natural Grocers,37.7089165,-97.4642435,small_grocer,"West 13th Street North, Wichita, KS 67212",Wichita,supermarket
Natural Grocers,39.7891568,-94.8087187,small_grocer,"North Belt Highway, Joseph, KS 64506",Joseph,supermarket
Red X,39.1676622,-94.6053549,small_grocer,"Northwest Platte Road, Riverside, KS",Riverside,supermarket
Apple Market - Grocery Store,37.1712921,-94.8326017,small_grocer,"North East Avenue, Columbus, KS 66725",Columbus,supermarket
Sharp's Market & Deli,39.4234094,-94.9011283,small_grocer,"MO-45, Weston, KS 64098",Weston,supermarket
ALDI,38.4264412,-96.2183683,small_grocer,"Industrial Road, Emporia, KS 66801",Emporia,supermarket
Ray's Green Hills Supermarket,39.7989858,-94.8135808,small_grocer,", , KS",,supermarket
Whole Foods Market,37.7092016,-97.2280047,small_grocer,"North Webb Road, Wichita, KS 67206",Wichita,supermarket
Hen House Market,38.8819266,-94.7643594,small_grocer,"South Black Bob Road, Olathe, KS 66062",Olathe,supermarket
Price Chopper,39.0101935,-94.8440916,small_grocer,"West 66th Street, Shawnee, KS 66226",Shawnee,supermarket
Target,37.568512,-97.241097,small_grocer,"North Rock Road, Derby, KS 67037",Derby,supermarket
